"RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT"
1.00981582551313,97.1021878883792,13166,3327,8.24867081877563,2.82030727945012,0.645460793829535,98.1518736085405,9.13125935784395
1.04688836272652,96.4536132265048,13845,3327,8.07778981581798,2.81440342778977,0.651861303095652,97.8430171885915,8.98028971740679
0.952491534532174,95.8244070752839,11548,3327,8.75381018358157,2.88139546332597,0.646872655338184,97.5894363660493,9.26735079665136
1.11822545881102,97.5066612838111,11990,3327,10.0718932443703,3.06676482175179,0.681532119452222,98.5773112636254,10.3587306974376
0.941160303601146,97.0538857817132,11408,3327,8.86816269284713,2.89068154904031,0.634773758239285,98.4218958355318,9.39419467081769
0.983424440643491,96.8646713183988,13003,3327,8.11389679304776,2.79827570865889,0.638580260219515,98.126147631289,8.49864821882952
0.931526500092456,96.7171325553445,12341,2628,8.08564946114577,2.79331377545964,0.635645942675119,98.0566432753073,8.88599033816425
0.89793910641642,96.8205767606484,12250,3327,7.86040816326531,2.7458214235676,0.624838592260893,98.1609218517476,8.55741584852735
0.99443063228088,96.3763970982123,13714,2283,7.74011958582471,2.75155151186942,0.616123627885645,97.7201536240569,8.61024
0.886156432022004,95.8714988741378,12075,3327,7.79254658385093,2.74978476260932,0.623998173769845,97.4935555849899,8.22194535143495
1.03116910133136,97.3329363967498,12044,3327,9.22965792095649,2.96258654003091,0.666851024082261,98.5648991314094,10.0043547813722
0.959398619522004,96.9320245814472,11610,3327,8.87157622739018,2.91463391656625,0.641524280559667,98.342728615929,9.07021959899314
0.818403797036797,96.6417704621427,11405,3327,7.68075405523893,2.70154087365695,0.609716220802043,98.0450779431396,8.09389799635701
0.980119874491494,97.3119369161892,12308,1675,8.58271043223919,2.88860302534473,0.653701566027993,98.5463455975828,9.2387943691165
0.942839673284948,96.4634905434522,12344,3327,8.16040181464679,2.82547555020071,0.64853440121855,98.0742159444577,8.77809205451273
0.98724365234375,97.4474817775258,13070,3327,8.15241009946442,2.81226189899064,0.633014327848078,98.370266043551,8.85130019749835
0.875023836214867,96.9312999153889,10957,3327,8.57351464817012,2.84267219235554,0.638179289420579,98.2066574488722,9.06783536585366
0.931084085498336,97.131580733687,11367,2268,8.81191167414445,2.90369700720504,0.646899585536781,98.1982680876235,9.26910755148741
0.957033055773854,97.2829419700558,11355,3327,9.0811977102598,2.93275943008056,0.656699455555323,98.3131598064096,9.43836609002808
0.990566276234283,96.96201839378,12625,3327,8.4259801980198,2.84488481249147,0.643807972496667,98.2216915350329,9.12447078746825
0.974837985969859,97.3399772156823,12180,3327,8.62865353037767,2.88022942330368,0.651806588864464,98.6264575943095,8.92889485158477
0.979505911381287,97.1397230979112,11518,3179,9.14941830178851,2.95673769936091,0.672834659201173,98.5177810961783,9.44068545181521
0.918732592340052,97.5942214141811,10847,3327,9.15525029962201,2.93520091152947,0.65069659280875,98.5140779322883,9.72572038420491
0.989239032451923,97.1915957796356,12174,3327,8.74708394940036,2.88290316863835,0.639102850459742,98.4146252418678,9.22623427740224
0.963606072600777,97.4054813773718,11193,3327,9.28759045832217,2.95654300543473,0.657037346474641,98.6432419770438,9.45630108685889
0.927779519346339,96.9014276399661,12246,3327,8.13106320431161,2.79982385048807,0.633610509858187,98.4293040863396,8.33619055468557
0.870039900379068,96.4612606629169,12218,3327,7.60779178261581,2.71284631750776,0.61908485357932,97.7688300367365,8.4328678839957
0.870364939672707,96.9096869229652,12023,3327,7.77002412043583,2.72872702455978,0.62450156557404,98.2769352061246,8.01565276250106
0.948437572230954,96.7651958684373,12306,3327,8.25995449374289,2.81510129899903,0.646153188331858,97.9513541815412,8.62834381551363
0.853796964566383,94.5528377906792,12064,3327,7.41147214854111,2.68101857557865,0.620967216371261,96.8285693135793,8.09012192966955
1.03764280059634,97.0154448553404,13646,3327,8.17052616151253,2.82367335539511,0.63728054749008,98.19360452469,9.05472197705207
0.905541414339867,96.9788820866652,11484,3327,8.4695228143504,2.84794165730561,0.641045513789772,98.4196462400542,8.80073109843081
0.980345596223188,96.8760073310677,11825,3327,8.8953065539112,2.90449058299749,0.648709423335171,98.4444505843671,9.60463653517836
0.996389896911982,97.0921381710102,11551,3327,9.27599342048307,2.96531978304756,0.660628203933685,98.2538330494038,9.84822888283379
0.917757474459135,95.6771965724517,11354,3327,8.56552756737714,2.86464567302773,0.651878215494169,97.4273711963954,9.27700234192037
0.966287646773299,97.2874736035582,11841,3327,8.79309179967908,2.902212981086,0.660427024852522,98.4638672422493,8.76032920442264
0.944094686113166,96.93010978922,11717,3327,8.65016642485278,2.88791211485641,0.653545210424875,98.2957805745763,9.30743457393824
0.952139408630732,96.8450998056043,12593,3327,8.10990232668943,2.81667545590186,0.64843499704917,98.114835711915,8.78999235409056
0.964671479174371,96.9675130799397,12273,3327,8.44153833618512,2.84757752770783,0.646189913159464,98.2394728714094,9.06094613259669
0.8514404296875,96.2842781701343,11661,3327,7.78646771288912,2.74826648260702,0.62716790921823,97.7720514941359,8.38114716843923
0.882093440851516,96.9210927664104,10247,3327,9.24065580169806,2.93734643559745,0.654396167041871,98.0449757925013,9.01949152542373
0.890526404747596,96.5548357007432,12513,3327,7.61072484615999,2.71706949803642,0.613220907428563,97.9408096845819,8.42197035745423
0.995983597794934,96.2524136305536,12970,3327,8.18635312259059,2.80335831106546,0.632695604069501,97.8542484430383,8.6932431344125
0.949268228203587,97.0676355612201,11748,3327,8.68692543411644,2.88017600520885,0.641659463580188,98.1909318318004,9.29207920792079
